 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,05-17,162.000,,,,8904109474118    ,8904109474118    ,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,05-17,84.000,,,,8904109474026    ,8904109474026    ,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,12-19,74.000,,,,,,,,,
I15799,PATANJALI KALA CHANA 1KG,Patanjali,02-17,134.000,,,,,,,,,
141310,PATANJALI KALA CHANNA 500GM,Patanjali,05-17,68.000,,,,,,,,,
II9592,PATANJALI KALI MIRCH PAPAD,Patanjali,12-19,50.000,,,,8904109443084    ,8904109443084    ,,,,
I05672,PATANJALI KANTI ALOEVERA SOAP 75GM,Patanjali,09-18,13.000,,,,8904109450136    ,8904109450136    ,,,,
I05671,PATANJALI KANTI NEEM SOAP 75GM,Patanjali,12-18,15.000,,,,,,,,,
I05671,PATANJALI KANTI NEEM SOAP 75GM,Patanjali,10-18,15.000,,,,,,,,,
I07465,PATANJALI KANTI ROSE SOAP 75GM,Patanjali,07-18,19.000,,,,8904109450273    ,8904109450273    ,,,,
I14098,PATANJALI KESAR 1GM,Patanjali,12-22,285.000,,,,,,,,,
I14434,PATANJALI KESH KANTHI ALOEVERA SHAMPOO,Patanjali,09-18,75.000,,,,8904109450013    ,8904109450013    ,,,,
I15408,PATANJALI KESH KANTHI OIL 300ML,Patanjali,07-18,250.000,,,,8904109463082    ,8904109463082    ,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,01-19,130.000,,,,8904109463099    ,8904109463099    ,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,09-19,130.000,,,,8904109463099    ,8904109463099    ,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,09-18,130.000,,,,8904109463099    ,8904109463099    ,,,,
I07463,PATANJALI KESH KANTI  ANTI DANDRUF SHAMPOO,Patanjali,09-18,110.000,,,,8904109450600    ,8904109450600    ,,,,
I17098,PATANJALI KESH KANTI ANTI DANDRUFF SHAMP,Patanjali,12-18,3.000,,,,8904109451300    ,8904109451300    ,,,,
I17098,PATANJALI KESH KANTI ANTI DANDRUFF SHAMP,Patanjali,12-19,2.000,,,,8904109450297    ,8904109450297    ,,,,
,PATANJALI KESH KANTI ANTI MILK PROTIN,Patanjali,,3.000,,,,8904109450389    ,8904109450389    ,,,,
I14091,PATANJALI KESH KANTI MILK PROTIEN SHAMPO,Patanjali,10-18,95.000,,,,8904109450365    ,8904109450365    ,,,,
I14091,PATANJALI KESH KANTI MILK PROTIEN SHAMPO,Patanjali,11-18,95.000,,,,8904109450365    ,8904109450365    ,,,,
I01351,PATANJALI KESH KANTI NATURAL  SHAMPOO,Patanjali,09-18,75.000,,,,8904109450020    ,8904109450020    ,,,,
I01351,PATANJALI KESH KANTI NATURAL  SHAMPOO,Patanjali,11-18,75.000,,,,8904109450020    ,8904109450020    ,,,,
I07466,PATANJALI KESH KANTI REETHA SHAMPOO,Patanjali,05-18,85.000,,,,8904109450495    ,8904109450495    ,,,,
I07466,PATANJALI KESH KANTI REETHA SHAMPOO,Patanjali,06-18,85.000,,,,8904109450495    ,8904109450495    ,,,,
III466,PATANJALI KESH KANTI SHIKAKAI SHAMPOO,Patanjali,10-18,95.000,,,,8904109463198    ,8904109463198    ,,,,
III466,PATANJALI KESH KANTI SHIKAKAI SHAMPOO,Patanjali,10-18,95.000,,,,8904109463198    ,8904109463198    ,,,,
II8882,PATANJALI KHATTI MEETHI CHUTNEY,Patanjali,06-17,55.000,,,,,,,,,
I01348,PATANJALI KHUS SHARBAT 750ML,Patanjali,05-17,100.000,,,,8904109440113    ,8904109440113    ,,,,
072985,PATANJALI LAUKI AMLA JUICE 1ML,Patanjali,07-17,90.000,,,,8904109460135    ,8904109460135    ,,,,
072985,PATANJALI LAUKI AMLA JUICE 1ML,Patanjali,12-19,90.000,,,,8904109460135    ,8904109460135    ,,,,
II8878,PATANJALI LEMON BODY CLEANSER,Patanjali,11-18,45.000,,,,8904109420481    ,8904109420481    ,,,,
II8878,PATANJALI LEMON BODY CLEANSER,Patanjali,07-18,45.000,,,,8904109420481    ,8904109420481    ,,,,
FIA005,PATANJALI LEMON HONEY FACE WASH 60GM,Patanjali,12-18,45.000,,,,8904109450440    ,8904109450440    ,,,,
FIA005,PATANJALI LEMON HONEY FACE WASH 60GM,Patanjali,09-18,45.000,,,,8904109450983    ,8904109450983    ,,,,
